Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
114279812;"2022-02-27 04:58:54";sell;0.01;LTCUSD;106.33;0;0;"2022-02-27 04:59:02";106.48;0;0;0;-0.15;8
114270108;"2022-02-26 08:56:07";buy;0.01;LTCUSD;110.84;0;0;"2022-02-26 08:56:23";110.65;0;0;0;-0.19;16
114080575;"2022-02-25 14:05:35";sell;10.00;BTCUSD;38878.28;0;0;"2022-02-25 14:06:03";38835.23;0;-15.55;430.5;43.05;28
114062187;"2022-02-25 13:09:37";buy;1.00;US30.cash;32916.1;0;0;"2022-02-25 13:10:29";32922.2;0;-3.29;61;6.1;52
114050665;"2022-02-25 12:26:20";sell;10.00;US30.cash;33025.9;0;0;"2022-02-25 12:34:57";33015.7;0;-33.03;1020;10.2;517
114028325;"2022-02-25 11:17:54";buy;1.00;US30.cash;32906.8;0;0;"2022-02-25 11:25:27";32859.2;0;-3.29;-476;-47.6;453
114013738;"2022-02-25 10:40:23";buy;1.00;US30.cash;32853.7;0;0;"2022-02-25 10:43:15";32859.2;0;-3.29;55;5.5;172
113963612;"2022-02-25 08:20:48";sell;10.00;ETHUSD;2629.46;2653;0;"2022-02-25 08:44:45";2626.37;0;-1.05;30.9;3.09;1437
113937874;"2022-02-25 05:51:09";sell;10.00;US30.cash;33054.9;0;0;"2022-02-25 05:51:39";33052.1;0;-33.05;280;2.8;30
113935003;"2022-02-25 05:34:37";buy;1.00;US30.cash;33028.8;0;0;"2022-02-25 05:38:34";33040.3;0;-3.3;115;11.5;237
113783399;"2022-02-24 19:00:16";sell;10.00;BTCUSD;36158.59;0;0;"2022-02-24 19:03:18";36115.4;0;-14.46;431.9;43.19;182
113699574;"2022-02-24 16:44:05";buy;10.00;BTCUSD;35308.55;0;0;"2022-02-24 16:45:56";35316.96;0;-14.12;84.1;8.41;111
113691433;"2022-02-24 16:35:22";sell;10.00;ETHUSD;2408.13;0;0;"2022-02-24 16:35:36";2403.98;0;-0.96;41.5;4.15;14
113667493;"2022-02-24 15:52:26";sell;10.00;ETHUSD;2401.44;2395;2383;"2022-02-24 16:05:52";2394.24;0;-0.96;72;7.2;806
113664110;"2022-02-24 15:45:17";sell;0.50;US30.cash;32368.3;32438;0;"2022-02-24 15:47:08";32352.1;0;-1.62;81;16.2;111
113633150;"2022-02-24 14:24:20";buy;5.00;US100.cash;13111.8;0;0;"2022-02-24 14:52:07";13095.7;0;-6.56;-805;-16.1;1667
113634223;"2022-02-24 14:27:12";buy;5.00;US100.cash;13095.2;0;0;"2022-02-24 14:52:03";13098.45;0;-6.55;162.5;3.25;1491
113638078;"2022-02-24 14:37:16";buy;10.00;US100.cash;13077.05;0;0;"2022-02-24 14:51:33";13096.2;0;-13.08;1915;19.15;857
113628425;"2022-02-24 14:13:22";buy;5.00;US100.cash;13119.3;0;0;"2022-02-24 14:14:23";13124.7;0;-6.56;270;5.4;61
113625793;"2022-02-24 14:05:18";sell;10.00;US100.cash;13124.2;0;0;"2022-02-24 14:07:18";13118.05;0;-13.12;615;6.15;120
113619611;"2022-02-24 13:49:50";sell;10.00;US100.cash;13139.95;13180;0;"2022-02-24 13:58:32";13133.3;0;-13.14;665;6.65;522
113506218;"2022-02-24 09:53:22";sell;25.00;ETHUSD;2369.67;0;0;"2022-02-24 09:54:15";2368.07;0;-2.37;40;1.6;53
113163316;"2022-02-23 17:57:38";buy;1.00;ETHUSD;2692.76;0;0;"2022-02-23 17:57:56";2726.57;0;-0.11;33.81;33.81;18
113163111;"2022-02-23 17:57:38";buy;5.00;ETHUSD;2692.76;0;0;"2022-02-23 17:57:50";2722.64;0;-0.54;149.4;29.88;12
113162445;"2022-02-23 17:56:31";buy;0.01;ETHUSD;2688.02;0;0;"2022-02-23 17:56:54";2726.47;0;0;0.38;38.45;23
113160938;"2022-02-23 17:54:23";buy;0.01;EURUSD;1.13236;0;0;"2022-02-23 17:56:17";1.13227;0;-0.03;-0.09;-0.9;114
113112625;"2022-02-23 16:50:48";sell;5.00;ETHUSD;2722.64;2766;2666;"2022-02-23 16:59:42";2707.5;0;-0.55;75.7;15.14;534
